DOG_ID;EDUC_PROGRAM;WEEK;DAY;DATE;LIP_LICKING;YAWNING;SNIFFING;HEAD_MOVEMENT;SHAKING
OOPER;STAY_ORGANIZATION;W1;FRIDAY;D2;84;4;4;34;0
OLFY;STAY_ORGANIZATION;W1;FRIDAY;D2;42;5;5;39;0
OUIFY;STAY_ORGANIZATION;W1;FRIDAY;D2;30;0;1;29;0
MIRABELLE;STAY_ORGANIZATION;W1;FRIDAY;D2;36;2;4;23;0
PERU;STAY_ORGANIZATION;W2;MONDAY;D3;5;5;3;34;2
PIWI;STAY_ORGANIZATION;W2;MONDAY;D3;5;0;26;31;0
PIRATE;STAY_ORGANIZATION;W2;MONDAY;D3;10;1;0;36;0
PACO;STAY_ORGANIZATION;W2;MONDAY;D3;34;0;0;25;0
OKAZ;STAY_ORGANIZATION;W2;MONDAY;D3;24;0;4;37;0
OOPER;STAY_ORGANIZATION;W2;MONDAY;D3;67;0;3;40;0
OLFY;STAY_ORGANIZATION;W2;MONDAY;D3;18;0;4;25;0
OUIFY;STAY_ORGANIZATION;W2;MONDAY;D3;17;0;2;24;0
MIRABELLE;STAY_ORGANIZATION;W2;MONDAY;D3;28;0;8;26;0
PERU;STAY_ORGANIZATION;W2;FRIDAY;D4;3;2;13;65;0
PIWI;STAY_ORGANIZATION;W2;FRIDAY;D4;16;1;23;67;0
PIRATE;STAY_ORGANIZATION;W2;FRIDAY;D4;18;1;9;76;1
PACO;STAY_ORGANIZATION;W2;FRIDAY;D4;9;0;5;54;1
OKAZ;STAY_ORGANIZATION;W2;FRIDAY;D4;4;0;12;67;1
OOPER;STAY_ORGANIZATION;W2;FRIDAY;D4;20;0;6;68;0
OLFY;STAY_ORGANIZATION;W2;FRIDAY;D4;13;0;2;50;0
OUIFY;STAY_ORGANIZATION;W2;FRIDAY;D4;12;0;5;57;0
MIRABELLE;STAY_ORGANIZATION;W2;FRIDAY;D4;9;0;7;61;0
PERU;STAY_ORGANIZATION;W3;MONDAY;D5;3;0;0;52;0
