Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
PopRock;80s;Queen;IronMaiden;FR;Eminem;Orelsan;Boum;Mae;MJackson;Beyonce;DaftPunk;Nirvana;ChantAmphi;Folktronica;Profond;PayetDblKick;BFF;WTF;3A;20-24;Oui;Boomers
Electro;00s;RollingSt;Metallica;FR;Eminem;McSolar;Boum;Dassin;MJackson;Beyonce;Nirvana;ColdPlay;Kpop ;Folktronica;Joie;GuerinBass;ConnaisPas;Femme;3A;20-24;Oui;Nimp
PopRock;70s;LedZep;Metallica;US;Eminem;McSolar;Soiree;Saez;Dylan;Bowie;ColdPlay;PinkFloyd;ChantAmphi;Psychobilly;Profond;PayetDblKick;NoComment;Femme;Autre;20-24;Oui;HaHa
PopRock;70s;PinkFloyd;Motorhead;US;Eminem;McSolar;Soiree;Saez;Dylan;Bowie;ColdPlay;PinkFloyd;BackMet;Psychobilly;Profond;GuerinBass;NoComment;Femme;3A;20-24;Oui;Nimp
PopRock;80s;Queen;Metallica;US;Eminem;Jul;Oreilles;Banabar;Beyonce;Beyonce;TameImp;ColdPlay;BackMet;Austropop;Swag;PayetDblKick;NoComment;Femme;3A;20-24;Oui;Boomers
Rap;10s;ACDC;Metallica;US;Eminem;Booba;Oreilles;Banabar;MJackson;Beyonce;TameImp;Nirvana;Techno;Austropop;Profond;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
JazzSoul;60s;GunsRoses;Metallica;US;Eminem;Jul;Boum;Sardou;MJackson;Cobain;Beatles;ColdPlay;Kpop ;Austropop;Profond;TolonAccord;Bouzin;Femme;3A;20-24;Oui;PasStat
ChansonF;80s;Queen;IronMaiden;FR;Eminem;Orelsan;Soiree;Mae;MJackson;Beyonce;DaftPunk;Beatles;RapVersail;Folktronica;Joie;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;10s;Nirvana;Metallica;US;Eminem;Booba;Boum;Stromae;MJackson;Beyonce;TameImp;ColdPlay;RockFR;Chiptune;Notes;TolonAccord;BFF;Homme;3A;15-19;Oui;Boomers
PopRock;80s;ACDC;Metallica;US;Eminem;Orelsan;Boum;Dassin;Beyonce;Hendrix;Queen;ColdPlay;RapVersail;Austropop;Profond;GuerinBass;ConnaisPas;Femme;3A;15-19;Oui;PasStat
JazzSoul;60s;Nirvana;Metallica;FR;50Cent;McSolar;Oreilles;Stromae;MJackson;MJackson;DaftPunk;PinkFloyd;Kpop ;Folktronica;Profond;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;Boomers
ChansonF;80s;ACDC;Metallica;US;Eminem;Orelsan;Soiree;Banabar;MJackson;MJackson;TameImp;Nirvana;Kpop ;Chiptune;Profond;BillyVoix;Bouzin;Femme;Autre;20-24;Oui;Offens
PopRock;80s;Nirvana;Metallica;FR;Eminem;Jul;Boum;Stromae;Beyonce;Bowie;Nirvana;ColdPlay;ChantAmphi;Psychobilly;Joie;TolonAccord;Bouzin;Femme;3A;15-19;Oui;HaHa
Rap;00s;Nirvana;Metallica;US;Eminem;McSolar;Boum;Mae;Beyonce;Bowie;DaftPunk;ColdPlay;ChantAmphi;Ziglibithy;Profond;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Electro;80s;ACDC;Metallica;FR;SnoopD;PNL;Coeur;Dassin;Beyonce;Dylan;Maneskin;TameImp;OperaRock;Psychobilly;Profond;PayetDblKick;FadeBeurDx;Homme;3A;20-24;Oui;PasStat
JazzSoul;80s;ACDC;Metallica;US;Eminem;PNL;Oreilles;Stromae;MJackson;Beyonce;DaftPunk;ColdPlay;BackMet;Austropop;Profond;TolonAccord;NoComment;Femme;3A;20-24;Oui;HaHa
PopRock;80s;Queen;IronMaiden;US;Eminem;McSolar;Soiree;Stromae;MJackson;Beyonce;ColdPlay;Maneskin;Techno;Folktronica;Profond;GuerinBass;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;90s;Queen;Metallica;FR;Eminem;Orelsan;Coeur;Brassens;MJackson;Beyonce;Beatles;PinkFloyd;Reggaeton;Psychobilly;Joie;TolonAccord;Bouzin;Femme;3A;20-24;Oui;Boomers
PopRock;70s;RollingSt;Metallica;US;Eminem;Lorenzo;Soiree;Brassens;Bowie;Dylan;ColdPlay;TameImp;OperaRock;Chiptune;Profond;BillyVoix;Bouzin;Femme;3A;20-24;Oui;Boomers
Metal;90s;GunsRoses;Metallica;US;Eminem;Lorenzo;Soiree;Brassens;Cobain;Hendrix;Maneskin;Beatles;Kpop ;Trallpunk;Rage;PayetDblKick;NoComment;Homme;3A;20-24;Oui;Boomers
Electro;00s;GunsRoses;Metallica;US;Eminem;Lorenzo;Coeur;Saez;MJackson;Madonna;PinkFloyd;DaftPunk;RapVersail;Chiptune;Joie;GuerinBass;BFF;Femme;3A;20-24;Oui;PasStat
PopRock;00s;Queen;Metallica;US;XXXTent;Orelsan;Soiree;Stromae;MJackson;Beyonce;DaftPunk;Maneskin;RapVersail;Austropop;Profond;PayetDblKick;NoComment;Femme;3A;20-24;Oui;PasStat
PopRock;70s;RollingSt;Ramstein;US;Eminem;Orelsan;Soiree;Saez;MJackson;Dylan;ColdPlay;DaftPunk;ChantAmphi;Folktronica;Profond;TolonAccord;NoComment;WTF;3A;20-24;Oui;HaHa
Electro;80s;RollingSt;Motorhead;US;Eminem;PNL;Boum;Saez;Bowie;Joplin;ColdPlay;TameImp;Kpop ;Austropop;Profond;TolonAccord;Bouzin;Femme;3A;20-24;Oui;Boomers
PopRock;00s;Queen;Metallica;US;Eminem;Orelsan;Boum;Banabar;Beyonce;Beyonce;Nirvana;Maneskin;Kpop ;Austropop;Folie;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;00s;ACDC;Metallica;US;XXXTent;Jul;Boum;Saez;Madonna;Beyonce;DaftPunk;Queen;BackMet;Austropop;Joie;BillyVoix;NoComment;Femme;3A;20-24;Oui;Nimp
Rap;80s;Nirvana;Metallica;FR;KanyeW;Orelsan;Coeur;Dassin;Bowie;Bowie;PinkFloyd;DaftPunk;BackMet;Psychobilly;Profond;PayetDblKick;NoComment;Femme;3A;20-24;Oui;HaHa
Rap;00s;RollingSt;Metallica;FR;Eminem;McSolar;Soiree;Stromae;Cobain;Joplin;ColdPlay;Beatles;RapVersail;Folktronica;Folie;SarrazSynth;NoComment;Femme;3A;20-24;Oui;Boomers
PopRock;80s;Queen;Metallica;FR;Eminem;Orelsan;Boum;Dassin;MJackson;Bowie;Maneskin;DaftPunk;Techno;Austropop;Profond;SarrazSynth;NoComment;Femme;3A;15-19;Oui;PasStat
PopRock;80s;Queen;Ramstein;US;Eminem;Orelsan;Soiree;Mae;MJackson;Beyonce;TameImp;PinkFloyd;ChantAmphi;Austropop;Profond;TolonAccord;ConnaisPas;Femme;3A;20-24;Oui;HaHa
Rap;10s;ACDC;Slipknot;US;Eminem;Booba;Coeur;Dassin;MJackson;Hendrix;Beatles;DaftPunk;Kpop ;Austropop;Joie;PayetDblKick;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
PopRock;00s;RollingSt;Metallica;US;Eminem;PNL;Boum;Dassin;MJackson;Beyonce;TameImp;Nirvana;Kpop ;Austropop;Profond;PayetDblKick;NoComment;Femme;3A;20-24;Oui;Boomers
PopRock;80s;Queen;Metallica;US;XXXTent;Orelsan;Oreilles;Saez;MJackson;Beyonce;Maneskin;TameImp;Techno;Austropop;Profond;BillyVoix;FadeBeurDx;Femme;3A;15-19;Oui;PasStat
PopRock;80s;Queen;Ramstein;US;Eminem;Jul;Oreilles;Stromae;MJackson;Bowie;Maneskin;TameImp;RapVersail;Ziglibithy;Profond;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
JazzSoul;90s;ACDC;Metallica;FR;Eminem;Jul;Soiree;Banabar;MJackson;Cobain;ColdPlay;Maneskin;BackMet;Austropop;Profond;BillyVoix;NoComment;Femme;3A;20-24;Oui;PasStat
PopRock;80s;Queen;Metallica;US;Eminem;Orelsan;Coeur;Mae;MJackson;Beyonce;PinkFloyd;TameImp;OperaRock;Chiptune;Joie;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;80s;Queen;Metallica;FR;Eminem;Jul;Oreilles;Stromae;MJackson;Beyonce;ColdPlay;DaftPunk;BackMet;Chiptune;Profond;BillyVoix;NoComment;Femme;3A;20-24;Oui;HaHa
ChansonF;10s;ACDC;Metallica;FR;KanyeW;Jul;Boum;Stromae;MJackson;Beyonce;TameImp;DaftPunk;Kpop ;Austropop;Swag;BillyVoix;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;90s;Queen;Metallica;FR;Eminem;Booba;Boum;Mae;Beyonce;Beyonce;Nirvana;ColdPlay;Techno;Ziglibithy;Profond;PayetDblKick;Bouzin;Femme;3A;20-24;Oui;HaHa
Classique;90s;LedZep;Ramstein;FR;Eminem;Orelsan;Coeur;Stromae;Beyonce;Beyonce;Queen;Maneskin;Reggaeton;Psychobilly;Profond;SarrazSynth;Bouzin;Homme;Autre;15-19;Oui;HaHa
Rap;80s;RollingSt;Metallica;FR;Eminem;Booba;Soiree;Stromae;MJackson;Hendrix;Maneskin;PinkFloyd;Kpop ;Psychobilly;Notes;GuerinBass;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
Electro;80s;Queen;Ramstein;FR;Eminem;Booba;Coeur;Mae;MJackson;Bowie;Maneskin;TameImp;ChantAmphi;Austropop;Notes;TolonAccord;BFF;Femme;3A;20-24;Oui;Boomers
Electro;70s;PinkFloyd;Metallica;US;KanyeW;Booba;Coeur;Stromae;MJackson;Bowie;Maneskin;TameImp;Kpop ;Trallpunk;Folie;BillyVoix;ConnaisPas;Homme;3A;15-19;Oui;Boomers
Rap;90s;Nirvana;Metallica;US;KanyeW;Booba;Coeur;Mae;MJackson;Bowie;ColdPlay;PinkFloyd;Reggaeton;Chiptune;Rage;BillyVoix;FadeBeurDx;Homme;3A;20-24;Oui;Boomers
Indie;80s;PinkFloyd;Metallica;FR;50Cent;Jul;Coeur;Mae;Beyonce;Cobain;ColdPlay;Maneskin;RapVersail;Ziglibithy;Swag;PayetDblKick;FadeBeurDx;WTF;3A;20-24;Non;Offens
Rap;80s;Queen;Metallica;FR;Eminem;Booba;Boum;Stromae;MJackson;Beyonce;DaftPunk;Beatles;BackMet;Ziglibithy;Profond;GuerinBass;FadeBeurDx;Femme;3A;15-19;Oui;Boomers
PopRock;90s;Queen;Metallica;FR;SnoopD;Orelsan;Boum;Saez;Beyonce;Beyonce;DaftPunk;Nirvana;BackMet;Folktronica;Profond;PayetDblKick;NoComment;WTF;3A;20-24;Oui;Nimp
Rap;00s;Nirvana;Metallica;FR;Eminem;Jul;Oreilles;Dassin;Madonna;Beyonce;PinkFloyd;Queen;Techno;Austropop;Joie;TolonAccord;Bouzin;Femme;3A;20-24;Oui;HaHa
Electro;00s;Queen;Metallica;US;Eminem;Orelsan;Coeur;Stromae;MJackson;Beyonce;ColdPlay;Queen;RapVersail;Trallpunk;Profond;BillyVoix;FadeBeurDx;WTF;3A;20-24;Oui;PasStat
PopRock;80s;ACDC;Metallica;FR;Eminem;Booba;Soiree;Sardou;MJackson;Beyonce;TameImp;ColdPlay;RapVersail;Folktronica;Profond;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;Boomers
PopRock;00s;Queen;Metallica;US;Eminem;Orelsan;Boum;Mae;MJackson;MJackson;TameImp;Maneskin;ChantAmphi;Austropop;Profond;TolonAccord;ConnaisPas;Femme;3A;20-24;Oui;HaHa
Rap;60s;Queen;Metallica;FR;50Cent;PNL;Boum;Banabar;MJackson;Beyonce;ColdPlay;DaftPunk;Kpop ;Trallpunk;Profond;GuerinBass;FadeBeurDx;WTF;3A;15-19;Oui;HaHa
Electro;10s;LedZep;Metallica;FR;50Cent;PNL;Boum;Dassin;Bowie;Bowie;Queen;TameImp;Kpop ;Austropop;Profond;SarrazSynth;NoComment;Femme;3A;20-24;Oui;HaHa
Rap;90s;ACDC;Metallica;US;50Cent;Orelsan;Oreilles;Saez;MJackson;Beyonce;Queen;ColdPlay;ChantAmphi;Chiptune;Profond;TolonAccord;NoComment;Femme;3A;20-24;Oui;Offens
ChansonF;10s;Queen;Ramstein;FR;Eminem;Jul;Boum;Dassin;Beyonce;Beyonce;Beatles;Nirvana;Techno;Chiptune;Notes;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;00s;RollingSt;Ramstein;FR;Eminem;Jul;Boum;Mae;Beyonce;Beyonce;ColdPlay;PinkFloyd;BackMet;Chiptune;Profond;TolonAccord;BFF;Femme;3A;15-19;Oui;HaHa
Electro;90s;RollingSt;Metallica;FR;Eminem;Orelsan;Coeur;Banabar;Bowie;Bowie;DaftPunk;TameImp;Reggaeton;Austropop;Profond;GuerinBass;NoComment;Femme;3A;20-24;Oui;HaHa
JazzSoul;80s;RollingSt;Metallica;FR;KanyeW;Lorenzo;Soiree;Mae;MJackson;Beyonce;Beatles;ColdPlay;BackMet;Austropop;Profond;GuerinBass;BFF;Femme;3A;20-24;Oui;HaHa
Classique;90s;Nirvana;Ramstein;US;Eminem;Lorenzo;Boum;Dassin;MJackson;Cobain;DaftPunk;TameImp;ChantAmphi;Ziglibithy;Notes;TolonAccord;NoComment;Femme;3A;20-24;Oui;HaHa
Rap;80s;Queen;Metallica;FR;XXXTent;Jul;Oreilles;Mae;MJackson;Dylan;PinkFloyd;Beatles;RapVersail;Chiptune;Profond;GuerinBass;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
ChansonF;80s;ACDC;Metallica;FR;SnoopD;Lorenzo;Oreilles;Banabar;MJackson;Bowie;Beatles;DaftPunk;Techno;Psychobilly;Profond;TolonAccord;NoComment;Homme;3A;20-24;Oui;HaHa
Rap;80s;Queen;Metallica;FR;Eminem;Jul;Coeur;Brassens;Cobain;Cobain;Beatles;DaftPunk;OperaRock;Psychobilly;Profond;GuerinBass;BFF;Homme;3A;20-24;Oui;Boomers
Electro;00s;PinkFloyd;Ramstein;US;Eminem;Jul;Soiree;Mae;MJackson;Beyonce;Maneskin;PinkFloyd;OperaRock;Austropop;Profond;BillyVoix;Bouzin;Femme;3A;20-24;Oui;HaHa
Metal;90s;GunsRoses;Metallica;US;Eminem;McSolar;Coeur;Brassens;MJackson;Beyonce;Maneskin;TameImp;ChantAmphi;Psychobilly;Profond;GuerinBass;BFF;Homme;3A;20-24;Oui;HaHa
PopRock;70s;RollingSt;Metallica;US;Eminem;Orelsan;Boum;Banabar;MJackson;Beyonce;Beatles;PinkFloyd;Reggaeton;Folktronica;Notes;GuerinBass;BFF;WTF;3A;15-19;Oui;Boomers
PopRock;10s;Nirvana;Metallica;FR;XXXTent;Jul;Oreilles;Stromae;Beyonce;Dylan;PinkFloyd;TameImp;Kpop ;Austropop;Notes;TolonAccord;FadeBeurDx;WTF;3A;20-24;Oui;Boomers
ChansonF;00s;Queen;BlackSab;FR;XXXTent;PNL;Oreilles;Banabar;MJackson;Cobain;ColdPlay;Nirvana;OperaRock;Austropop;Profond;BillyVoix;FadeBeurDx;Femme;3A;20-24;Oui;PasStat
JazzSoul;60s;Queen;Metallica;US;Eminem;Orelsan;Oreilles;Stromae;Hendrix;MJackson;Nirvana;Beatles;RapVersail;Psychobilly;Folie;TolonAccord;ConnaisPas;Femme;3A;20-24;Oui;PasStat
PopRock;00s;ACDC;Metallica;FR;Eminem;PNL;Oreilles;Mae;MJackson;Beyonce;PinkFloyd;ColdPlay;Techno;Ziglibithy;Profond;GuerinBass;FadeBeurDx;WTF;3A;20-24;Non;HaHa
Rap;00s;Queen;Metallica;US;XXXTent;Jul;Boum;Mae;Beyonce;Beyonce;DaftPunk;Beatles;BackMet;Chiptune;Profond;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
ChansonF;80s;RollingSt;Metallica;US;Eminem;Jul;Boum;Mae;Beyonce;Beyonce;DaftPunk;Beatles;BackMet;Folktronica;Joie;TolonAccord;NoComment;Femme;3A;20-24;Oui;HaHa
PopRock;00s;Queen;Ramstein;US;XXXTent;Orelsan;Boum;Stromae;Madonna;Beyonce;Maneskin;ColdPlay;ChantAmphi;Psychobilly;Profond;BillyVoix;Bouzin;Homme;3A;20-24;Oui;PasStat
Classique;00s;Queen;Metallica;US;50Cent;Orelsan;Oreilles;Stromae;MJackson;Madonna;Beatles;Queen;Techno;Ziglibithy;Profond;GuerinBass;Bouzin;WTF;3A;20-24;Oui;Boomers
ChansonF;80s;Queen;Metallica;FR;Eminem;Booba;Oreilles;Mae;MJackson;Beyonce;Beatles;Queen;Kpop ;Ziglibithy;Profond;GuerinBass;FadeBeurDx;WTF;3A;20-24;Non;Boomers
PopRock;90s;LedZep;Metallica;US;Eminem;PNL;Coeur;Saez;MJackson;Madonna;Beatles;ColdPlay;RapVersail;Folktronica;Profond;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;00s;RollingSt;Metallica;FR;Eminem;JoeySt;Boum;Stromae;MJackson;Madonna;PinkFloyd;ColdPlay;BackMet;Austropop;Profond;TolonAccord;Bouzin;Femme;3A;20-24;Non;HaHa
Electro;00s;Queen;Metallica;US;Eminem;Booba;Coeur;Brassens;MJackson;Beyonce;Nirvana;ColdPlay;RapVersail;Folktronica;Profond;GuerinBass;FadeBeurDx;Femme;3A;20-24;Oui;Boomers
Rap;10s;Queen;Ramstein;FR;Eminem;Jul;Boum;Mae;MJackson;MJackson;Maneskin;Queen;Techno;Folktronica;Folie;BillyVoix;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;90s;Queen;IronMaiden;FR;Eminem;Orelsan;Coeur;Banabar;Dylan;Bowie;Maneskin;TameImp;RapVersail;Psychobilly;Profond;BillyVoix;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;80s;Nirvana;Metallica;FR;Eminem;Lorenzo;Boum;Mae;Cobain;Bowie;Maneskin;ColdPlay;RapVersail;Austropop;Folie;SarrazSynth;NoComment;Femme;3A;20-24;Oui;PasStat
Rap;00s;Queen;Metallica;FR;XXXTent;PNL;Coeur;Dassin;MJackson;Cobain;ColdPlay;DaftPunk;OperaRock;Chiptune;Profond;BillyVoix;NoComment;Homme;3A;20-24;Oui;PasStat
JazzSoul;00s;GunsRoses;Metallica;FR;Eminem;Orelsan;Oreilles;Saez;Beyonce;Beyonce;ColdPlay;DaftPunk;ChantAmphi;Austropop;Joie;GuerinBass;NoComment;Femme;3A;20-24;Oui;Boomers
PopRock;00s;PinkFloyd;Motorhead;US;Eminem;Orelsan;Boum;Mae;MJackson;Beyonce;Beatles;ColdPlay;RapVersail;Ziglibithy;Profond;GuerinBass;Bouzin;Homme;3A;20-24;Oui;HaHa
Electro;80s;Queen;Metallica;FR;Eminem;McSolar;Coeur;Dassin;Madonna;Bowie;Maneskin;ColdPlay;BackMet;Ziglibithy;Profond;GuerinBass;FadeBeurDx;WTF;Autre;20-24;Oui;Boomers
Electro;00s;Queen;Motorhead;FR;Eminem;Orelsan;Coeur;Saez;Madonna;Beyonce;TameImp;ColdPlay;Kpop ;Austropop;Profond;TolonAccord;NoComment;Femme;3A;20-24;Oui;HaHa
ChansonF;00s;Nirvana;Metallica;US;50Cent;Orelsan;Boum;Saez;MJackson;Madonna;ColdPlay;Maneskin;ChantAmphi;Ziglibithy;Notes;GuerinBass;NoComment;Femme;3A;15-19;Oui;HaHa
Rap;00s;ACDC;IronMaiden;US;KanyeW;Booba;Boum;Stromae;MJackson;Hendrix;Beatles;ColdPlay;Techno;Ziglibithy;Profond;TolonAccord;NoComment;Homme;3A;25-29;Oui;Boomers
Classique;00s;Queen;Metallica;US;Eminem;PNL;Soiree;Dassin;Bowie;Madonna;DaftPunk;Maneskin;ChantAmphi;Chiptune;Notes;PayetDblKick;NoComment;WTF;3A;15-19;Oui;HaHa
Indie;10s;RollingSt;Metallica;FR;SnoopD;Jul;Coeur;Mae;Dylan;Beyonce;DaftPunk;ColdPlay;Kpop ;Chiptune;Swag;PayetDblKick;FadeBeurDx;WTF;Autre;20-24;Oui;Nimp
Indie;10s;ACDC;Metallica;FR;Eminem;Jul;Coeur;Mae;MJackson;Beyonce;DaftPunk;ColdPlay;Kpop ;Ziglibithy;Swag;PayetDblKick;Bouzin;Femme;3A;20-24;Oui;HaHa
Rap;10s;ACDC;Ramstein;FR;Eminem;Jul;Boum;Mae;MJackson;Madonna;Beatles;DaftPunk;Techno;Folktronica;Profond;PayetDblKick;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
Electro;00s;ACDC;Metallica;US;Eminem;Orelsan;Coeur;Mae;Madonna;Madonna;PinkFloyd;ColdPlay;ChantAmphi;Austropop;Profond;GuerinBass;FadeBeurDx;Femme;3A;20-24;Oui;PasStat
Metal;90s;Nirvana;Ramstein;US;Eminem;Orelsan;Boum;Dassin;Bowie;Cobain;ColdPlay;Maneskin;ChantAmphi;Trallpunk;Folie;PayetDblKick;BFF;Femme;3A;20-24;Oui;HaHa
Rap;10s;PinkFloyd;Motorhead;US;Eminem;Orelsan;Boum;Sardou;Beyonce;Beyonce;Beatles;ColdPlay;ChantAmphi;Austropop;Folie;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;PasStat
ChansonF;80s;PinkFloyd;Metallica;FR;Eminem;PNL;Boum;Stromae;Beyonce;Beyonce;Nirvana;PinkFloyd;ChantAmphi;Psychobilly;Profond;PayetDblKick;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;00s;Queen;Motorhead;FR;Eminem;Orelsan;Boum;Stromae;MJackson;Beyonce;TameImp;ColdPlay;ChantAmphi;Ziglibithy;Profond;GuerinBass;Bouzin;Femme;3A;20-24;Non;HaHa
Rap;10s;RollingSt;Metallica;FR;Eminem;Booba;Soiree;Sardou;Beyonce;MJackson;TameImp;DaftPunk;Kpop ;Folktronica;Profond;GuerinBass;FadeBeurDx;Homme;3A;15-19;Oui;HaHa
ChansonF;80s;Queen;Metallica;FR;Eminem;Orelsan;Soiree;Saez;MJackson;Beyonce;TameImp;Maneskin;Kpop ;Chiptune;Profond;GuerinBass;FadeBeurDx;Femme;3A;15-19;Oui;PasStat
PopRock;70s;PinkFloyd;BlackSab;US;Eminem;Orelsan;Oreilles;Stromae;Dylan;Hendrix;ColdPlay;Queen;Kpop ;Psychobilly;Notes;GuerinBass;BFF;Homme;3A;20-24;Oui;Boomers
Rap;10s;LedZep;Metallica;US;DrDre ;Booba;Coeur;Dassin;Cobain;Beyonce;PinkFloyd;DaftPunk;Kpop ;Chiptune;Rage;TolonAccord;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
