Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
ChansonF;10s;PinkFloyd;Metallica;FR;XXXTent;Jul;Oreilles;Banabar;Beyonce;Bowie;DaftPunk;Queen;ChantAmphi;Psychobilly;Joie;TolonAccord;ConnaisPas;Femme;Autre;15-19;Oui;Boomers
Rap;10s;Nirvana;Metallica;FR;Eminem;Booba;Oreilles;Mae;Beyonce;Beyonce;TameImp;Nirvana;BackMet;Trallpunk;Profond;PayetDblKick;BFF;Femme;Autre;15-19;Non;HaHa
Classique;70s;Queen;Metallica;US;Eminem;JoeySt;Oreilles;Dassin;Dylan;Dylan;Beatles;TameImp;BackMet;Ziglibithy;Joie;SarrazSynth;FadeBeurDx;Femme;PersISARA;45-54;Oui;HaHa
Metal;70s;ACDC;Motorhead;US;DrDre ;JoeySt;Oreilles;Brassens;Hendrix;Hendrix;ColdPlay;PinkFloyd;ChantAmphi;Folktronica;Folie;PayetDblKick;ConnaisPas;Homme;PersISARA;35-44;Oui;PasStat
PopRock;80s;Queen;Metallica;US;SnoopD;McSolar;Soiree;Banabar;MJackson;Beyonce;TameImp;PinkFloyd;ChantAmphi;Ziglibithy;Notes;GuerinBass;FadeBeurDx;Femme;PersISARA;45-54;Non;Nimp
PopRock;80s;Queen;BlackSab;FR;50Cent;McSolar;Oreilles;Stromae;Bowie;Bowie;Maneskin;ColdPlay;OperaRock;Austropop;Joie;GuerinBass;BFF;Femme;PersISARA;>54;Oui;HaHa
ChansonF;80s;RollingSt;Metallica;FR;Eminem;McSolar;Oreilles;Dassin;Beyonce;Beyonce;Nirvana;TameImp;ChantAmphi;Ziglibithy;Profond;BillyVoix;NoComment;WTF;Autre;35-44;Non;HaHa
Indie;90s;Queen;Metallica;US;SnoopD;JoeySt;Soiree;Saez;Bowie;Beyonce;ColdPlay;Beatles;RapVersail;Psychobilly;Profond;PayetDblKick;Bouzin;WTF;Autre;35-44;Oui;PasStat
PopRock;70s;Queen;Metallica;FR;Eminem;McSolar;Coeur;Brassens;MJackson;Beyonce;DaftPunk;PinkFloyd;OperaRock;Trallpunk;Notes;PayetDblKick;Bouzin;Homme;PersISARA;35-44;Oui;Boomers
PopRock;80s;Nirvana;Metallica;US;Eminem;McSolar;Oreilles;Brassens;Dylan;Dylan;ColdPlay;Nirvana;RockFR;Trallpunk;Profond;BillyVoix;NoComment;Femme;Autre;25-29;Non;Boomers
Indie;70s;Queen;IronMaiden;FR;Eminem;Orelsan;Boum;Banabar;MJackson;Joplin;TameImp;TameImp;Reggaeton;Austropop;Profond;SarrazSynth;FadeBeurDx;Homme;Autre;25-29;Non;Nimp
PopRock;80s;Queen;BlackSab;US;Eminem;McSolar;Soiree;Dassin;Bowie;Bowie;Maneskin;PinkFloyd;RapVersail;Folktronica;Profond;BillyVoix;NoComment;WTF;Autre;25-29;Oui;PasStat
Metal;90s;PinkFloyd;Metallica;FR;Eminem;Orelsan;Coeur;Brassens;Hendrix;Cobain;ColdPlay;Nirvana;Reggaeton;Trallpunk;Profond;PayetDblKick;BFF;Homme;Autre;25-29;Oui;HaHa
ChansonF;70s;PinkFloyd;Metallica;FR;Eminem;PNL;Coeur;Dassin;MJackson;Dylan;Maneskin;PinkFloyd;Techno;Ziglibithy;Joie;BillyVoix;NoComment;Femme;PersISARA;45-54;Oui;Boomers
