Dpt;Règlements_compte;Homicides_vol;Homicides_autres;Tentatives_homicides_vol;Tentatives_homicides_autres;Coups_et_blessures_mort;Autres_coups_et_blessures;Prises_d_otages_vols;Prises_d_otages_autre;Sequestrations;Menaces_chantages_extorsion_fonds;Menaces_ou_chantages_autre;Atteintes_dignité;Violations_domicile;Vols_MA_EF;Vols_MA_etrp;Vols_MA_trsp_fonds;Vols_MA_particuliers_domicile;Autres_vols_MA;Vols_AB_financier_entrp_industriels;Vols_AB_particuliers_domicile;Autres_vols_AB;Vols_violents_SA_financiers_commerciaux_industriels;Vols_violents_SA_contre_des_particuliers_dom;Vols_violents_SA_femmes_VP;Vols_violents_SA_autres;Cambriolages_habitations_principales;Cambriolages_résidences_secondaires;Camb_locaux_industriels_commerciaux_financiers;Cambriolages_autres;Vols_entrée_rusée_tous_lieux;Vols_tire;Vols_étalage;Vols_de_véhicules_de_transport_avec_frêt;Vols_autos;Vols_2_roues_motorisés;Vols_roulotte;Vols_accessoires_véhicules_immat;Vols_chantier;Vols_exploit_agri;Autres_vols_simples;Autres_vols_simples_particuliers_locaux_privés;Autres_vols_simples_particuliers_publics;Recels;Proxénétisme;Viols_majeur_e_s;Viols_mineur_e_s;Harcèlements_agressions_sexuels_majeur_e_s;Harcèlements_agressions_sexuelles_mineur_e_s;Atteintes_sexuelles;Homicides_sur_moins_15;Violences__mauvais_traitements_et_abandons_d_enfants_;Délits_garde_mineurs;Non_versement_de_pension_alimentaire;Trafic_sans_usage_stup;Usage_revente_stup;Usage_stup;Autres_infractions_stup;infraction_règlementation_alcool_tabac;Fraudes_alimentaires_infractions_hygiène;Autres_délits_santé_publique_réglementation_prof_médi;Incendies_volontaires_public;Incendies_volontaires_privés;Attentats_à_l_explosif_publics;Attentats_à_l_explosif_privés;Autres_dégradations_publics;Autres_destructions_privés;Destructions_véhicules_privés;Infractions__conditions_entrée_séjour_étrangers;Aide_entrée_circulation_séjour_étrangers;Autres_infractions_étrangers;Outrages__autorité;Violences_autorité;armes_prohibées;Atteintes_aux_intérêts_fondamentaux_de_la_Nation;Délits_courses__jeux;Délits_interdiction_séjour__paraître;délits_envers_animaux;Atteintes_environnement;Chasse_pêche;Faux_doc_identité;Faux_documents_circulation_véhicules;faux_docs_administratifs;Faux_en_écriture_publique_et_authentique;Autres_faux_écriture;Fausse_monnaie;Contrefaçons_fraudes_industr_commerc;Contrefaçons_littéraires_artistique;chèques_volés;cartes_crédit;Escroqueries_abus_confiance;Infractions_chèques;Travail_clandestin;Emploi_d_étranger_sans_titre_travail;Marchandage;Banqueroutes__abus_de_biens_sociaux_et_autres_délits_de_société;Prix_illicittes__publicité_fausse_infractions_concurrence;Achats_ventes_sans_factures;Infractions_exercice_profession_règlementée;Infractions_droit_urbanisme_construction;Fraudes_fiscales;Autres_délits_éco_financiers;Autres_délits
68;0;0;2;1;21;1;1599;0;0;32;74;757;260;82;0;3;0;5;1;4;4;22;7;23;109;168;832;26;169;444;50;272;314;0;162;228;696;162;27;1;285;987;1562;169;2;30;36;46;64;62;0;300;87;69;47;117;744;0;5;0;0;62;277;1;1;215;794;383;6;20;3;225;275;230;2;0;4;12;2;0;34;54;6;6;21;6;8;0;69;183;831;3;20;10;0;6;0;0;3;8;0;10;560
69;1;0;17;5;34;2;5971;2;1;122;355;2579;1048;205;4;52;5;12;26;34;11;132;36;48;1323;1506;6648;141;2130;4556;209;2997;2649;9;3296;1072;12050;2687;224;6;2030;4975;17728;1502;19;151;119;328;264;193;1;1031;431;281;241;537;4825;12;33;1;9;198;1140;0;0;835;3218;2563;46;48;49;803;1055;1047;4;0;46;28;9;0;252;150;94;13;190;134;38;1;2021;3106;5099;12;165;44;0;27;21;0;33;2;5;424;2955
7;0;0;1;0;1;0;211;0;0;3;6;68;18;11;0;2;0;0;0;0;0;0;1;0;14;20;186;24;66;49;7;41;208;0;71;50;150;54;10;1;51;170;206;30;0;5;4;6;21;4;0;29;23;12;1;20;223;2;0;0;0;3;26;0;0;48;57;76;0;0;0;18;19;45;0;0;0;0;0;0;0;1;4;0;6;7;4;0;20;29;153;0;5;0;0;1;1;0;1;0;0;0;63
70;0;0;1;0;0;0;154;0;0;2;13;70;32;17;0;0;0;1;0;1;0;0;0;2;12;5;74;1;39;16;2;16;63;0;37;16;149;31;2;3;31;132;212;14;0;7;4;11;3;11;0;35;23;5;1;6;102;0;0;0;0;4;29;0;0;14;56;34;0;0;1;25;22;29;0;0;0;2;1;0;1;3;1;0;3;0;1;0;2;12;151;1;2;1;0;2;0;0;0;0;0;0;57
71;0;0;1;0;7;1;837;0;0;13;38;395;123;40;0;1;0;1;0;1;2;5;5;6;50;71;549;19;158;279;41;148;351;2;204;166;569;184;23;1;218;612;867;67;0;20;19;27;43;39;0;177;36;15;12;105;587;0;1;0;0;97;149;0;0;156;222;324;0;2;3;110;95;163;1;0;3;17;1;0;3;5;4;3;23;7;4;1;165;129;718;3;14;0;0;3;3;1;1;0;1;2;270
72;0;0;3;0;8;0;836;0;1;21;47;481;206;56;0;5;0;1;2;2;4;19;2;7;103;208;420;2;174;181;22;376;147;0;157;219;931;156;11;0;345;691;973;119;0;46;41;41;60;65;0;326;80;21;5;65;428;1;4;0;0;16;136;0;0;117;431;392;4;3;6;116;123;100;1;0;8;6;1;1;11;4;4;0;7;11;9;0;139;296;1057;2;4;0;0;1;2;0;3;0;0;4;396
73;0;0;3;0;4;0;556;1;0;17;22;198;82;23;0;8;0;1;5;0;2;16;5;8;55;94;470;25;115;268;20;295;203;0;156;91;573;141;22;1;132;448;747;116;0;26;20;22;38;34;0;84;72;26;24;41;477;1;1;1;2;42;162;0;1;158;280;286;23;109;4;91;88;86;0;0;2;8;0;0;128;13;10;1;10;5;3;0;116;143;530;1;19;13;0;1;0;0;1;3;1;4;218
74;2;0;6;0;13;1;749;0;0;15;40;363;116;66;1;3;0;0;1;0;2;7;5;10;97;128;890;69;303;512;34;320;415;0;259;388;771;161;37;1;140;817;1425;167;1;32;15;38;25;26;0;132;75;56;34;137;1067;3;17;0;0;13;65;0;1;71;324;235;5;92;6;96;120;196;2;0;4;2;1;0;46;8;9;1;20;9;2;0;94;149;669;4;43;30;0;8;2;2;7;4;2;21;293
75;4;1;28;13;220;8;11789;1;2;252;1453;4976;2675;640;6;69;2;33;56;54;42;485;76;125;6428;6637;9914;418;2531;2185;535;24386;3749;6;2362;5324;11918;2180;268;1;4091;10444;67411;4144;71;678;171;973;329;466;4;1212;439;187;1328;2156;10083;46;75;1;91;79;339;2;7;719;10287;2629;39;95;186;1763;2930;2745;25;162;127;37;15;0;565;106;144;23;247;166;124;22;13675;9581;12267;18;1003;215;7;96;34;3;308;9;85;3538;8686
76;0;1;12;0;14;2;3470;1;0;62;212;1686;512;152;2;9;0;2;12;13;9;69;17;38;508;659;2455;102;779;1481;120;1356;763;2;1272;663;4889;1553;167;7;706;2876;3025;376;12;120;149;130;230;178;0;710;261;103;83;215;2165;9;4;0;0;83;786;1;2;527;2643;2826;88;67;51;408;398;436;4;0;7;23;5;3;96;78;96;5;79;20;22;5;466;984;2660;11;62;15;1;16;1;0;9;7;5;23;1571
77;1;0;6;2;43;4;4261;1;1;100;242;1973;734;240;0;35;0;11;25;24;13;107;19;22;998;984;4312;182;636;1050;161;2636;1677;12;2721;470;5899;2244;258;9;1073;2478;4926;722;9;117;136;204;220;225;1;1368;291;159;158;475;4372;9;12;1;1;64;616;1;0;528;2272;1800;35;110;55;565;771;695;5;0;57;57;29;0;185;85;71;7;133;63;29;0;979;959;3965;20;169;84;1;12;6;0;13;35;2;103;2641
78;2;0;15;2;39;3;4117;1;2;80;278;2313;863;255;2;27;0;7;18;7;4;79;15;27;858;932;3440;113;550;1248;165;2358;1985;1;2523;837;3963;2078;150;8;933;3153;6937;870;9;142;134;221;260;202;0;1074;340;172;229;392;6865;13;6;0;0;108;581;0;1;524;2304;2288;22;76;31;618;884;844;15;0;20;34;12;0;182;132;70;15;177;53;58;10;1944;1346;5029;21;277;117;4;40;11;1;22;43;25;108;2541
