Dpt;Règlements_compte;Homicides_vol;Homicides_autres;Tentatives_homicides_vol;Tentatives_homicides_autres;Coups_et_blessures_mort;Autres_coups_et_blessures;Prises_d_otages_vols;Prises_d_otages_autre;Sequestrations;Menaces_chantages_extorsion_fonds;Menaces_ou_chantages_autre;Atteintes_dignité;Violations_domicile;Vols_MA_EF;Vols_MA_etrp;Vols_MA_trsp_fonds;Vols_MA_particuliers_domicile;Autres_vols_MA;Vols_AB_financier_entrp_industriels;Vols_AB_particuliers_domicile;Autres_vols_AB;Vols_violents_SA_financiers_commerciaux_industriels;Vols_violents_SA_contre_des_particuliers_dom;Vols_violents_SA_femmes_VP;Vols_violents_SA_autres;Cambriolages_habitations_principales;Cambriolages_résidences_secondaires;Camb_locaux_industriels_commerciaux_financiers;Cambriolages_autres;Vols_entrée_rusée_tous_lieux;Vols_tire;Vols_étalage;Vols_de_véhicules_de_transport_avec_frêt;Vols_autos;Vols_2_roues_motorisés;Vols_roulotte;Vols_accessoires_véhicules_immat;Vols_chantier;Vols_exploit_agri;Autres_vols_simples;Autres_vols_simples_particuliers_locaux_privés;Autres_vols_simples_particuliers_publics;Recels;Proxénétisme;Viols_majeur_e_s;Viols_mineur_e_s;Harcèlements_agressions_sexuels_majeur_e_s;Harcèlements_agressions_sexuelles_mineur_e_s;Atteintes_sexuelles;Homicides_sur_moins_15;Violences__mauvais_traitements_et_abandons_d_enfants_;Délits_garde_mineurs;Non_versement_de_pension_alimentaire;Trafic_sans_usage_stup;Usage_revente_stup;Usage_stup;Autres_infractions_stup;infraction_règlementation_alcool_tabac;Fraudes_alimentaires_infractions_hygiène;Autres_délits_santé_publique_réglementation_prof_médi;Incendies_volontaires_public;Incendies_volontaires_privés;Attentats_à_l_explosif_publics;Attentats_à_l_explosif_privés;Autres_dégradations_publics;Autres_destructions_privés;Destructions_véhicules_privés;Infractions__conditions_entrée_séjour_étrangers;Aide_entrée_circulation_séjour_étrangers;Autres_infractions_étrangers;Outrages__autorité;Violences_autorité;armes_prohibées;Atteintes_aux_intérêts_fondamentaux_de_la_Nation;Délits_courses__jeux;Délits_interdiction_séjour__paraître;délits_envers_animaux;Atteintes_environnement;Chasse_pêche;Faux_doc_identité;Faux_documents_circulation_véhicules;faux_docs_administratifs;Faux_en_écriture_publique_et_authentique;Autres_faux_écriture;Fausse_monnaie;Contrefaçons_fraudes_industr_commerc;Contrefaçons_littéraires_artistique;chèques_volés;cartes_crédit;Escroqueries_abus_confiance;Infractions_chèques;Travail_clandestin;Emploi_d_étranger_sans_titre_travail;Marchandage;Banqueroutes__abus_de_biens_sociaux_et_autres_délits_de_société;Prix_illicittes__publicité_fausse_infractions_concurrence;Achats_ventes_sans_factures;Infractions_exercice_profession_règlementée;Infractions_droit_urbanisme_construction;Fraudes_fiscales;Autres_délits_éco_financiers;Autres_délits
88;0;0;0;0;4;1;376;0;0;4;12;168;69;5;0;2;0;1;0;4;0;5;2;9;27;43;337;13;97;207;10;60;138;0;116;59;371;108;14;2;86;343;447;54;2;11;28;15;23;19;0;93;34;13;6;41;437;1;0;0;0;29;81;0;0;69;205;157;3;0;3;103;91;107;0;0;0;0;2;0;2;0;1;0;9;6;2;0;14;79;327;10;2;1;0;0;1;0;0;1;0;4;179
89;0;0;1;0;2;0;554;0;0;11;41;216;130;32;0;1;0;1;4;0;2;8;0;2;26;47;199;12;73;108;30;168;128;0;136;79;239;147;9;1;126;261;457;37;0;22;11;16;31;21;0;162;29;15;3;21;281;2;0;1;0;12;75;0;0;100;244;248;14;1;3;62;47;95;3;0;3;4;1;0;12;3;6;0;15;7;0;0;139;107;421;1;5;0;0;1;1;0;0;0;0;3;243
9;0;0;0;0;0;0;207;0;0;2;4;115;41;11;0;0;0;0;0;0;0;1;0;0;3;11;159;15;22;42;4;21;34;0;29;11;73;43;6;2;32;120;168;22;0;6;3;1;3;14;0;32;18;3;2;14;67;0;0;1;0;3;9;0;0;28;58;30;0;1;0;48;48;30;0;1;1;2;0;0;1;0;1;0;3;0;6;0;26;16;172;0;0;0;0;0;0;0;0;0;0;0;125
90;0;0;0;0;2;0;381;0;0;10;12;112;71;6;0;5;0;1;1;0;2;2;6;5;28;37;205;10;70;173;5;46;129;1;53;25;279;69;12;0;79;297;412;30;0;6;11;20;39;17;0;118;47;20;11;56;296;3;0;0;0;14;67;0;0;34;84;78;0;0;0;73;74;67;3;0;0;3;0;0;2;3;0;0;4;1;0;0;10;82;298;2;2;0;0;4;2;0;3;1;0;4;151
91;2;0;5;0;33;0;3927;0;0;96;227;1772;659;234;1;22;0;16;36;8;6;87;21;28;794;1055;3632;107;275;871;225;2230;946;3;2745;585;3660;1718;157;3;517;2733;4337;553;2;130;86;143;179;164;1;836;249;110;196;361;3874;5;12;3;2;47;364;1;1;346;1490;850;145;62;88;601;884;574;6;0;32;33;10;0;108;123;80;61;127;44;40;1;604;1035;2884;10;101;55;1;12;6;0;10;44;3;69;1979
92;1;0;8;1;50;3;5381;0;2;124;558;2567;1071;325;1;35;3;12;36;20;6;162;15;30;2261;2142;5182;158;735;1332;309;5556;1712;2;2299;2825;6756;2285;230;0;1865;5511;17596;1100;16;203;146;313;266;621;0;1057;388;186;757;383;4138;24;6;1;5;149;630;0;3;516;3743;2394;60;11;60;698;933;655;7;1;58;28;4;0;98;47;86;11;157;44;29;12;5186;3336;6845;9;96;23;0;35;12;0;24;25;32;205;3496
93;3;0;20;2;113;6;9720;1;4;257;723;4294;1122;689;3;45;1;18;90;46;36;379;54;70;5364;4942;7530;210;627;1671;344;9452;2502;14;5002;1374;12149;3480;339;2;991;4667;11956;2332;6;346;204;365;308;301;0;1854;348;207;1297;1910;9009;13;36;1;10;159;1267;1;14;826;5141;3621;83;17;54;1289;2422;1215;9;1;161;112;9;0;183;167;98;14;149;113;181;2;2034;1827;5975;6;293;144;1;17;7;0;18;36;8;2539;4746
94;0;0;12;0;95;1;5317;0;0;108;424;2250;746;315;1;59;2;27;61;30;20;135;24;37;1832;1683;5563;167;656;1159;321;4360;2245;4;3219;1799;6410;2597;215;5;943;3979;11889;1295;8;180;129;257;265;223;0;1036;327;148;452;800;4488;12;15;1;5;78;650;4;1;537;3063;1911;29;18;118;676;1051;826;11;0;18;29;7;0;150;95;65;9;143;70;40;2;2906;1890;5248;5;178;38;5;20;7;2;30;21;3;204;2831
95;0;0;4;2;56;2;3913;0;0;134;252;2103;518;218;2;28;1;16;44;11;10;225;15;23;1724;1883;3541;67;400;814;117;3656;1189;7;3703;697;5718;2135;194;3;709;2511;5176;837;2;133;128;169;170;173;0;856;310;189;301;373;4821;13;32;4;3;52;709;0;1;362;1572;1018;138;322;994;566;903;873;2;0;12;37;5;1;543;121;84;8;93;62;38;2;1530;1125;3510;9;327;304;1;10;9;0;23;29;9;421;2414
971;7;7;56;10;30;1;1161;1;0;19;59;528;85;73;2;83;0;31;155;3;4;110;1;3;190;235;938;29;266;124;18;80;57;1;255;134;1373;245;19;5;50;335;562;101;1;23;16;14;26;26;0;111;36;19;49;50;341;1;16;0;0;2;46;0;0;55;304;312;24;84;4;69;97;212;1;1;3;4;1;1;17;10;24;0;18;11;1;0;258;54;381;3;116;77;1;14;0;0;2;6;5;10;283
972;2;0;3;1;16;0;970;0;0;24;39;491;90;51;0;14;0;4;114;3;0;49;6;3;118;231;589;6;122;81;21;61;150;0;228;174;938;134;15;2;120;373;504;44;1;22;17;18;38;30;2;141;9;6;236;29;549;11;1;0;5;2;31;0;0;39;176;100;6;107;0;84;108;250;2;0;0;7;4;0;14;3;22;0;22;4;0;0;77;61;316;3;90;81;0;1;1;0;1;3;0;15;247
973;2;0;6;1;17;0;773;0;0;20;48;271;74;43;0;9;0;6;124;1;2;111;1;2;371;403;375;5;118;135;27;90;33;0;84;352;1015;44;15;0;61;367;498;114;0;20;24;10;24;15;0;143;2;6;30;36;261;0;13;0;2;4;16;0;0;17;159;140;294;211;31;59;107;121;28;5;0;1;12;0;192;11;34;0;16;3;0;0;34;59;233;0;226;126;1;0;0;0;39;1;2;5;233
974;0;0;4;0;14;1;2049;0;0;27;60;801;174;107;0;4;0;2;3;0;2;30;3;9;172;459;921;35;574;123;14;61;122;0;270;496;1106;387;27;10;225;651;1168;168;3;65;72;60;152;80;1;340;77;38;17;80;468;1;16;4;6;24;158;0;0;109;495;966;1;15;1;102;173;236;1;0;5;6;4;1;12;6;14;2;40;10;3;1;348;110;758;3;29;6;0;7;8;0;4;26;0;12;490
976;0;0;1;0;3;1;545;0;0;9;9;103;19;6;0;1;0;0;0;2;21;66;4;7;179;236;329;7;95;64;6;54;72;0;33;194;211;32;17;4;49;248;400;96;0;14;24;4;14;7;0;90;3;4;6;6;63;1;6;1;1;1;15;0;0;34;88;134;221;265;1;35;100;86;1;0;0;2;1;1;82;0;4;1;2;8;0;0;17;7;181;0;62;46;0;2;0;0;33;2;0;55;97
987;0;0;0;0;0;0;418;0;0;0;1;74;19;19;0;0;0;0;1;0;0;1;1;1;24;46;147;3;53;7;0;8;28;0;25;130;380;28;2;0;48;289;506;75;1;6;5;23;14;9;0;53;8;11;15;56;648;1;4;0;0;0;1;0;0;2;39;41;43;21;0;27;30;10;2;5;0;7;0;0;1;2;1;0;6;3;0;0;244;16;136;2;3;13;0;3;1;0;2;1;0;1;109
988;0;0;1;0;0;1;937;0;0;5;7;175;61;20;0;0;0;0;0;0;1;3;5;12;25;71;664;15;420;251;9;46;100;1;459;97;854;58;15;0;114;673;485;184;0;19;22;20;32;30;0;166;47;39;50;351;893;0;6;0;0;20;90;1;1;114;270;417;77;4;1;70;111;46;1;0;0;10;7;2;2;1;3;1;5;1;0;0;240;19;177;20;75;8;0;9;1;0;3;2;0;26;227
